Table 5 — CLTD για Επίπεδες Οροφές (Ψυκτικά Φορτία)
Πηγή: ASHRAE Handbook of Fundamentals 1989 / GRP-158 | Πίνακας καθηγητή ΑΠΘ
Αρχικές τιμές σε °F — μετατράπηκαν σε °C (÷1.8) | 40°N | 21 Ιουλίου | Ti_ref=25.5°C | To_mean_ref=29.4°C | To_max_ref=35°C | ΔT_ημερ_ref=11.6°C
CLTD_corr = (CLTD × K × LM) + (25.5 - Ti) + (To_mean - 29.4) | K_roof: 1.0=σκούρα / 0.5=ανοιχτόχρωμη | f: 1.0=χωρίς_ροή / 0.75=με_ροή_αέρα
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ΧΩΡΙΣ ΨΕΥΔΟΡΟΦΗ (Without Suspended Ceiling),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Τύπος,Περιγραφή,Μάζα_kg_m2,U_W_m2K,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,Ώρα_Max,Min_°C,Max_°C,Diff_°C
11,Roof terrace system,366,0.602,10.6,9.4,8.3,7.8,6.7,6.1,5.0,4.4,3.9,4.4,4.4,5.6,6.7,8.3,10.0,11.1,12.2,13.3,13.9,14.4,13.9,13.3,12.2,11.7,20,3.9,14.4,10.6
12,152.4mm h.w. concrete + 25.4mm insulation (or 50.8mm),366(366),1.090(0.664),10.0,8.9,7.8,6.7,6.1,5.6,5.0,4.4,4.4,5.0,5.6,6.7,8.3,9.4,11.1,12.2,13.3,13.9,13.9,13.9,13.3,12.2,11.1,10.6,19,4.4,13.9,9.4
13,101.6mm wood with 25.4mm insulation (or 50.8mm),83(88),0.602(0.443),11.7,11.1,10.0,9.4,8.3,7.8,7.2,6.1,5.6,5.0,5.0,5.0,5.6,6.7,7.8,8.9,10.0,11.1,12.2,12.8,13.3,13.3,12.8,12.2,21,5.0,13.3,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ΜΕ ΨΕΥΔΟΡΟΦΗ (With Suspended Ceiling),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Τύπος,Περιγραφή,Μάζα_kg_m2,U_W_m2K,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,Ώρα_Max,Min_°C,Max_°C,Diff_°C
1,Steel sheet + 25.4mm insulation (or 50.8mm),44(49),0.761(0.522),0.6,0.0,-0.6,-1.1,-1.7,-1.7,0.0,2.8,7.2,11.1,15.6,19.4,22.2,23.9,23.9,22.8,20.6,17.2,12.8,8.3,5.6,3.9,2.8,1.7,14,-1.7,23.9,25.6
2,25.4mm wood with 25.4mm insulation,49,0.633,6.1,4.4,3.3,2.8,1.7,1.1,0.6,1.1,2.2,3.9,6.7,9.4,12.2,15.0,17.2,18.3,19.4,18.9,17.8,15.6,13.3,11.1,9.4,7.8,17,0.6,19.4,18.9
3,101.6mm lightweight concrete,97,0.761,5.6,4.4,3.3,2.2,1.1,0.6,0.0,0.0,1.1,3.3,5.6,8.9,11.7,15.0,17.2,18.9,20.0,20.0,18.9,16.7,14.4,11.7,9.4,7.2,17,0.0,20.0,20.0
4,50.8mm h.w. concrete + 25.4mm insulation,146,0.744,8.9,7.8,7.2,6.1,5.6,4.4,3.9,3.9,3.9,4.4,5.0,6.1,7.8,9.4,10.6,12.2,13.3,13.9,14.4,14.4,13.9,12.8,11.7,11.1,19,3.9,14.4,10.6
5,25.4mm wood with 50.8mm insulation,49,0.471,7.8,6.1,5.0,3.9,2.8,2.2,1.7,1.7,2.2,3.3,5.6,7.8,10.0,12.8,15.0,16.7,17.2,17.8,17.2,16.1,14.4,12.2,10.6,8.9,18,1.7,17.8,16.1
6,152.4mm lightweight concrete,127,0.619,10.0,8.3,7.2,6.1,5.0,3.9,3.3,2.2,2.2,2.2,3.3,5.0,6.7,8.9,11.1,13.3,15.0,16.1,16.7,16.7,15.6,14.4,12.8,11.1,19,2.2,16.7,14.4
7,63.5mm wood with 25.4mm insulation,73,0.545,10.6,9.4,8.9,8.3,7.8,7.2,6.1,5.6,5.0,5.0,5.6,6.7,7.8,9.4,10.6,11.7,12.2,12.8,13.9,13.9,13.3,12.2,11.7,11.1,19,5.0,13.9,8.9
8,203.2mm lightweight concrete,161,0.528,12.2,11.1,10.0,8.9,8.3,7.2,6.1,5.6,5.0,4.4,4.4,5.0,6.1,7.8,8.9,10.6,11.7,12.8,13.9,13.9,13.9,13.3,12.8,11.1,19,4.4,13.9,9.4
9,101.6mm h.w. concrete + 25.4mm insulation (or 50.8mm),259(264),0.727(0.511),9.4,8.9,8.3,7.8,7.2,7.2,6.7,6.1,6.1,6.1,6.1,6.7,7.2,8.3,8.9,10.0,10.6,11.1,11.7,11.7,11.7,11.1,10.6,10.0,19,6.1,11.7,5.6
10,63.5mm wood with 50.8mm insulation,73,0.409,10.6,10.0,9.4,8.9,7.8,7.2,6.7,6.1,5.6,5.6,5.6,6.1,6.7,7.8,8.9,10.0,10.6,11.7,12.2,12.8,12.2,11.7,11.7,11.7,20,5.6,12.8,7.2
11,Roof terrace system,376,0.466,9.4,8.9,8.9,8.3,8.3,7.8,7.2,7.2,7.2,6.7,7.2,7.2,7.8,7.8,8.3,8.9,9.4,10.0,10.0,10.6,10.0,10.0,10.0,9.4,20,6.7,10.6,3.9
12,152.4mm h.w. concrete + 25.4mm insulation (or 50.8mm),376(176),0.710(0.499),8.9,8.9,8.3,8.3,7.8,7.2,7.2,7.2,7.2,7.2,6.7,7.2,7.8,8.3,8.9,9.4,10.0,10.0,10.6,10.6,10.0,10.0,9.4,9.4,19,6.7,10.6,3.9
13,101.6mm wood with 25.4mm insulation (or 50.8mm),93(97),0.465(0.363),11.1,10.6,10.0,9.4,8.9,8.3,7.8,7.8,7.2,7.2,6.7,6.7,6.7,7.2,7.8,8.3,8.9,10.0,10.6,11.1,11.1,11.1,10.6,11.1,20,6.7,11.1,4.4
